impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K21-141692,A652554,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2349813,LOST,Frankie,Dog,Over 1 year<p/>,Female,Redbone Hound,Brown,11/10/2021 0:00,Date Lost,9300 block of  53RD AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2349813,Image Copyright HLP Inc. 2021,"<p/>Age: Over 1 year<p/>Location Lost: 9330 53RD AVE S, Seattle WA  98118<p/>Lost Date: 2021-11-10<p/>",
K21-141621,A652374,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652374,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Angel,Cat,11 WEEKS,Neutered Male,Domestic Mediumhair,Orange / White,11/7/2021 0:00,Received on,41000 block of  212TH AVE SE,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652374,Image Copyright HLP Inc. 2021,"Received on: 2021-11-07<p/> Found Near: 41000 block of  212TH AVE SE<p/> Description: Orange / White Neutered Male Domestic Mediumhair Cat<p/> Age: 11 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K21-141625,A652381,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2348708,LOST,Brynn,Dog,Over 1 year<p/>,Female,Dutch Shepherd,Unknown,11/7/2021 0:00,Date Lost,313TH  AVE SE & RETREAT KANASKAT RD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2348708,Image Copyright HLP Inc. 2021,"Description: Brindle Shepard mix, approximately 70 pounds.  Black and brown.  Medium Soft coat. Lanky with floppy ears and long tail.   Camouflage canvas collar. Shy but friendly.<p/>Age: Over 1 year<p/>Location Lost: 313th AVE SE & Retreat Kanaskat Rd, RAVENSDALE WA  98051<p/>Lost Date: 11/07/2021<p/>",
K21-141464,A651874,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A651874,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tole,Dog,10 YEARS,Neutered Male,Labrador Retriever / Chinese Sharpei,Black / White,11/1/2021 0:00,Received on,22400 block of  127TH AVE SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651874,Image Copyright HLP Inc. 2021,"Received on: 2021-11-01<p/> Found Near: 22400 block of  127TH AVE SE<p/> Description: Black / White Neutered Male Labrador Retriever / Chinese Sharpei Dog<p/> Age: 10 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K21-140973,A650796,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A650796,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lycan,Cat,3 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby / Lynx Pt,10/15/2021 0:00,Received on,300 block of  CENTRAL AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A650796,Image Copyright HLP Inc. 2021,"Received on: 2021-10-15<p/> Found Near: 300 block of  CENTRAL AVE S<p/> Description: Brn Tabby / Lynx Pt Neutered Male Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-138704,A501386,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A501386,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Maya,Dog,7 YEARS 3 MONTHS,Spayed Female,Mastiff,Red,8/2/2021 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A501386,Image Copyright HLP Inc. 2021,"Received on: 2021-08-02<p/> Description: Red<p/>  Spayed Female Mastiff Dog<p/> Age: 7 YEARS 3 MONTHS<p/> Adoption Fee: $50.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Maya and I am available for adoption. I am a big girl, weighing in at about 103 pounds!<p/><p/>I am currently the shelter's longest dog resident, and I hope that I can finally find my home for the holidays.<p/><p/>I was brought in by my previous owner on November 12, 2020 because they had medical issues and could no longer care for me. My previous owner described me as super friendly and very loving, as well as very strong and active!  I have been affectionate and sweet with my caretakers at the shelter, and they can't wait to help me meet my perfect forever family.<p/><p/>I am a Dogue de Bordeaux, the most ancient of French dog breeds. Legend has it that my breed was introduced to France by Julius Caesar! Like my breed standard, I am a sweet, loyal and sensitive soul.<p/><p/>I was nominated as the Pet of the Week on December 8, 2020--this means that my adoption fee has been waived!  However, please note that a pet license is a requirement and therefore a fee may be applied. This helps my safe return home should I become lost, and comes with additional benefits such as Vacation Pet Alert, Free Ride Home and more (visit our pet licensing page for more info)!<p/><p/>Staff here noticed that I am a bit of a princess--I much prefer the company of grownup humans to other cats and dogs. I would do best as the only pet in an adult only home.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/><p/><p/>",RED
K21-141261,A651362,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,2 YEARS,Male,Domestic Mediumhair,Black / White,10/25/2021 0:00,Received on,25500 block of  186TH AVE SE,KENT,WA,98042,KING COUNTY,,,,Image Copyright HLP Inc. 2021,Received on: 2021-10-25<p/> Found Near: 25500 block of  186TH AVE SE<p/> Description: Black / White Male Domestic Mediumhair Cat<p/> Age: 2 YEARS<p/>,
K21-140353,A649152,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Mr. Pennycrumbs,Cat,15 YEARS 1 MONTH,Neutered Male,Domestic Shorthair,Orange,9/24/2021 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A649152,Image Copyright HLP Inc. 2021,"Received on: 2021-09-24<p/> Description: Orange Neutered Male Domestic Shorthair Cat<p/> Age: 15 YEARS 1 MONTH<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hello, allow me to introduce myself--Mr. Pennycrumbs here, and I'm looking for a home to spend my golden years.<p/><p/>I was brought in to the shelter by a good samaritan on 9/24/21.<p/><p/>I am a very sweet old man who wants to leave life on the streets behind. It's time for fluffy pillows and warm tea as we watch Autumn roll in!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I was nominated as the Pet of the Week on November 9, 2021. This means that my adoption fee has been reduced. Please note that a pet license is a requirement and therefore a fee may be applied. This helps my safe return home should I become lost, and comes with additional benefits such as Vacation Pet Alert, Free Ride Home and more (visit our pet licensing page for more info)!<p/>",BLUE
K21-140575,A649706,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2329585,In Public Home,,Dog,Over 1 year<p/>,Female,Irish Terrier,White / Brown,10/1/2021 0:00,Date Found,KELLY  RD & 325TH AVE NE,CARNATIO,,,CARNATION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2329585,Image Copyright HLP Inc. 2021,"Description: Middle aged female Terrier mix with wirey hair.Mostly white with tan ears.  About 15 lbs, No collar.  No Microchip<p/>Age: Over 1 year<p/>Found Near: Kelly Rd & 325th Ave NE, Carnation , WA, Carnation WA  98014<p/>Found Date: 10/01/2021<p/>",
K21-140991,A650835,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2335217,LOST,Wing Nut,Dog,Over 1 year<p/>,Female,Pit Bull,Unknown,10/14/2021 0:00,Date Lost,WASHINGTON  AVE AND JAMES ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2335217,Image Copyright HLP Inc. 2021,"Description: Loving gentle pit bull<p/>Age: Over 1 year<p/>Location Lost: Washington ave and James st, Seattle WA  98122<p/>Lost Date: 10/14/2021<p/>",
K21-139077,A645825,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A645825,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cyrano,Cat,4 MONTHS,Neutered Male,Domestic Shorthair,Black,8/15/2021 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A645825,Image Copyright HLP Inc. 2021,"Received on: 2021-08-15<p/> Description: Black<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 4 MONTHS<p/> Adoption Fee: $50.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Cyrano and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 8/16.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>I am a sweet kitten who may need extra time and attention to warm up to new situations and new people. When I was a wee little one, I was not taught how nice and friendly people can be, but I am learning quickly! Though I may be timid at first, once you take the time to show me I can trust you I will show you just how wonderful I can be.<p/><p/>Current medical conditions are noted below.<p/><p/>1)    Feline Leukemia Virus<p/><p/>This cat tested positive for Feline Leukemia Virus (FeLV).  Cats infected with this virus may have an active, or latent infection.  Active infection leads to immunosuppression, increased susceptibility to disease, or lymphosarcoma.  Infected cats are expected to have a decreased lifespan and will require additional veterinary care.  However, with care, these cat may have a good quality of life for months to years.  FeLV is transmitted to other cats through saliva and activities such as sharing water bowls, communal grooming and social contact.  For this reason, this cat should be kept as a single cat or with other FeLV positive cats.  Please consult with your regular veterinarian for additional information and a management plan for your new pet.<p/>",BLUE
K21-141532,A652115,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2345043,LOST,Leaf,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,11/3/2021 0:00,Date Lost,HOME  130TH PL SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2345043,Image Copyright HLP Inc. 2021,"Description: He is wearing a cone and has a shaved butt and a cut with stitches. Has a white nose bridge and white paws.<p/>Age: Over 1 year<p/>Location Lost: Home 130th Pl SE, Kent WA  98031<p/>Lost Date: 11/03/2021<p/>",
K21-141326,A651472,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A651472,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rudy,Dog,2 YEARS,Neutered Male,Siberian Husky,Red,10/27/2021 0:00,Received on,22600 block of  112TH AVE SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651472,Image Copyright HLP Inc. 2021,"Received on: 2021-10-27<p/> Found Near: 22600 block of  112TH AVE SE<p/> Description: Red Neutered Male Siberian Husky Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K21-141051,A650944,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2336094,In Public Home,,Dog,Over 1 year<p/>,Female,Rottweiler,Black / Brown,10/17/2021 0:00,Date Found,6300 block of  S 212TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2336094,Image Copyright HLP Inc. 2021,Description: black with brown and white highlights. Short stubby tale and a red collar with hearts<p/>Age: Over 1 year<p/>Found Near: 6300 block of  S 212TH ST<p/>Found Date: 10/17/2021<p/>,
K21-141646,A652465,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652465,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dilly,Dog,8 MONTHS,Female,English Pointer / Mix,White / Cream,11/8/2021 0:00,Received on,13000 block of  20TH AVE S,SEATAC,WA,98168,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652465,Image Copyright HLP Inc. 2021,"Received on: 2021-11-08<p/> Found Near: 13000 block of  20TH AVE S<p/> Description: White / Cream Female English Pointer / Mix Dog<p/> Age: 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K21-141539,A652139,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Brielle,Cat,1 YEAR,Spayed Female,Domestic Shorthair,Black / White,11/4/2021 0:00,Received on,11100 block of  SE 208TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652139,Image Copyright HLP Inc. 2021,Received on: 2021-11-04<p/> Found Near: 11100 block of  SE 208TH ST<p/> Description: Black / White Spayed Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: In RASKC Foster Home <p/>,GREEN
K21-141135,A651092,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2337517,LOST,Tink,Cat,Over 1 year<p/>,Female,Domestic Longhair,Unknown,10/16/2021 0:00,Date Lost,3500 block of  W LAKE SAMMAMISH PKWY SE,BELLEVUE,,98008,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2337517,Image Copyright HLP Inc. 2021,"Description: Tuxedo cat that is mostly black with white on face, chest and paws.  She had a medical issue and has a bald spot on back near tail where the hair is just growing back.<p/>Age: Over 1 year<p/>Location Lost: 3560 W Lake Sammamish Parkway SE  Bellevue WA 98008, Bellevue WA  98008<p/>Lost Date: 10/16/2021<p/>",
K21-139077,A645825,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A645825,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cyrano,Cat,4 MONTHS,Neutered Male,Domestic Shorthair,Black,8/15/2021 0:00,Received on,22400 block of  SE 331ST ST,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A645825,Image Copyright HLP Inc. 2021,"Received on: 2021-08-15<p/> Found Near: 22400 block of  SE 331ST ST<p/> Description: Black Neutered Male Domestic Shorthair Cat<p/> Age: 4 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K21-141544,A652159,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Rocky,Cat,4 WEEKS,Male,Domestic Shorthair,White / Black,11/4/2021 0:00,Received on,36600 block of  48TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652159,Image Copyright HLP Inc. 2021,Received on: 2021-11-04<p/> Found Near: 36600 block of  48TH AVE S<p/> Description: White / Black Male Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K21-141425,A651756,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A651756,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Floss,Cat,2 YEARS,Neutered Male,Domestic Mediumhair,Lynx Pt / White,10/31/2021 0:00,Received on,21600 block of  64TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651756,Image Copyright HLP Inc. 2021,"Received on: 2021-10-31<p/> Found Near: 21600 block of  64TH AVE S<p/> Description: Lynx Pt / White Neutered Male Domestic Mediumhair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",FEARFUL
K21-141623,A652377,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652377,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,10 MONTHS,Neutered Male,Domestic Mediumhair,Black / Black,11/7/2021 0:00,Received on,10800 block of  SE KENT KANGLEY RD,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652377,Image Copyright HLP Inc. 2021,"Received on: 2021-11-07<p/> Found Near: 10800 block of  SE KENT KANGLEY RD<p/> Description: Black / Black Neutered Male Domestic Mediumhair Cat<p/> Age: 10 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-141546,A652161,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Olympic,Cat,4 WEEKS,Female,Domestic Shorthair,Calico,11/4/2021 0:00,Received on,36600 block of  48TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652161,Image Copyright HLP Inc. 2021,Received on: 2021-11-04<p/> Found Near: 36600 block of  48TH AVE S<p/> Description: Calico Female Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K21-141570,A652254,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2347778,LOST,Brownie,Dog,Under 1 year<p/>,Male,German Shepherd,Unknown,11/4/2021 0:00,Date Lost,208TH,,WA,98031,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2347778,Image Copyright HLP Inc. 2021,"Description: German shepherd puppy, no collar no tag no microchip since we just got him. He slipped his leash near Kent East Hill Safeway 208th & Benson 108th on November 4th. Black and tan, with eagle marking on chest. Approx 12 weeks old.<p/>Age: Under 1 year<p/>Location Lost: 208th & Benson Kent WA 98031, Des Moines WA  98198<p/>Lost Date: 11/04/2021<p/>",
K21-141738,A652772,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652772,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2 YEARS,Male,Pit Bull,Black / White,11/12/2021 0:00,Received on,400 block of  COSTCO DR,TUKWILA,WA,98188,TUKWILA,47.445678,-122.24842,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652772,Image Copyright HLP Inc. 2021,"Received on: 2021-11-12<p/> Found Near: 400 block of  COSTCO DR<p/> Description: Black / White Male Pit Bull Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-140982,A650812,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2335101,LOST,Bobber,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Unknown,10/6/2021 0:00,Date Lost,5800 block of  S 212TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2335101,Image Copyright HLP Inc. 2021,"Description: Maine Coon mix - looks like American medium haired<p/>Silver tabby but with beige on face also. Big body, little head.  Michaelsons has chip registration, # not presently available but Found there before when Lost last fall/winter for 2 months.<p/>Age: Over 1 year<p/>Location Lost: 5801 S 212th St, Kent WA  98032<p/>Lost Date: 10/06/2021<p/>",
K21-141619,A652372,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652372,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Masuka,Cat,11 WEEKS,Neutered Male,Domestic Mediumhair,Orange / White,11/7/2021 0:00,Received on,41000 block of  212TH AVE SE,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652372,Image Copyright HLP Inc. 2021,"Received on: 2021-11-07<p/> Found Near: 41000 block of  212TH AVE SE<p/> Description: Orange / White Neutered Male Domestic Mediumhair Cat<p/> Age: 11 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K21-141465,A651907,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A651907,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mika,Dog,2 YEARS,Female,Pit Bull / Mix,Tan / White,11/2/2021 0:00,Received on,22000 block of  84TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A651907,Image Copyright HLP Inc. 2021,"Received on: 2021-11-02<p/> Found Near: 22000 block of  84TH AVE S<p/> Description: Tan / White Female Pit Bull / Mix Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-141743,A652790,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652790,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Rabbit Sh,1 YEAR,Unknown,Rabbit Sh,Tan,11/12/2021 0:00,Received on,200 block of  W CLOUDY ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652790,Image Copyright HLP Inc. 2021,"Received on: 2021-11-12<p/> Found Near: 200 block of  W CLOUDY ST<p/> Description: Tan Unknown Rabbit Sh Rabbit Sh<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-141554,A652175,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652175,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Peeps,Cat,10 YEARS,Neutered Male,Domestic Mediumhair,Black,11/4/2021 0:00,Received on,5000 block of  S 289TH PL,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652175,Image Copyright HLP Inc. 2021,"Received on: 2021-11-04<p/> Found Near: 5000 block of  S 289TH PL<p/> Description: Black Neutered Male Domestic Mediumhair Cat<p/> Age: 10 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K21-141611,A652358,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,7 WEEKS,Male,Domestic Longhair,Brn Tabby,11/7/2021 0:00,Received on,3700 block of  S 144TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652358,Image Copyright HLP Inc. 2021,Received on: 2021-11-07<p/> Found Near: 3700 block of  S 144TH ST<p/> Description: Brn Tabby Male Domestic Longhair Cat<p/> Age: 7 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K21-141551,A652169,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A652169,"Covington Petco 27111 167TH PL SE COVINGTON, WA 98042",Alice,Cat,4 YEARS,Spayed Female,Domestic Mediumhair,Brn Tabby / White,11/4/2021 0:00,Received on,27111 167TH PL SE,COVINGTON,WA,98042,COVINGTON,47.358606,-122.118905,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652169,Image Copyright HLP Inc. 2021,"Received on: 2021-11-04<p/> Description: Brn Tabby / White<p/>  Spayed Female Domestic Mediumhair Cat<p/> Age: 4 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: Covington Petco 27111 167TH PL SE COVINGTON, WA 98042<p/>Hi there! My name is Alice and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on November 4, 2021. <p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home.<p/><p/><p/>",GREEN
K21-137978,A643130,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A643130,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Nina,Dog,3 YEARS 3 MONTHS,Spayed Female,Australian Kelpie / Mix,Black / Tan,7/11/2021 0:00,Received on,10400 block of  9TH AVE SW,SEATTLE,WA,98146,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A643130,Image Copyright HLP Inc. 2021,"Received on: 2021-07-11<p/> Found Near: 10400 block of  9TH AVE SW<p/> Description: Black / Tan Spayed Female Australian Kelpie / Mix Dog<p/> Age: 3 YEARS 3 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-141436,A649359,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A649359,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Layla,Dog,6 MONTHS,Female,German Shepherd,Brown / Black,11/1/2021 0:00,Received on,19700 block of  INTERNATIONAL BLVD,SEATAC,WA,98188,SEATAC,47.426358,-122.298412,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A649359,Image Copyright HLP Inc. 2021,"Received on: 2021-11-01<p/> Found Near: 19700 block of  INTERNATIONAL BLVD<p/> Description: Brown / Black Female German Shepherd Dog<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K21-140916,A650645,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2334053,LOST,Zues,Cat,Over 1 year<p/>,Male,Siamese,Unknown,10/6/2021 0:00,Date Lost,110TH  AVE SW KENT,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2334053,Image Copyright HLP Inc. 2021,"Description: Flame point Siamese. Blue eyes, marijuana collar<p/>Age: Over 1 year<p/>Location Lost: 110th Ave sw kent, Kent WA  98031<p/>Lost Date: 10/06/2021<p/>",
K21-141706,A652704,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652704,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,13 WEEKS,Unknown,Domestic Mediumhair,White,11/10/2021 0:00,Received on,10800 block of  SE KENT KANGLEY RD,KENT,WA,98030,KENT,47.368646,-122.196984,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652704,Image Copyright HLP Inc. 2021,"Received on: 2021-11-10<p/> Found Near: 10800 block of  SE KENT KANGLEY RD<p/> Description: White Unknown Domestic Mediumhair Cat<p/> Age: 13 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
